station id,station name,station latitude,station longitude
408,Market St & Cherry St,40.710762,-73.994004
409,DeKalb Ave & Skillman St,40.690649,-73.956431
410,Suffolk St & Stanton St,40.720664,-73.98518
411,E 6 St & Avenue D,40.722281,-73.976687
412,Forsyth St & Canal St,40.715815,-73.994224
414,Pearl St & Anchorage Pl,40.702819,-73.987658
415,Pearl St & Hanover Square,40.704718,-74.00926
416,Cumberland St & Lafayette Ave,40.687534,-73.972652
417,Barclay St & Church St,40.712912,-74.010202
418,Front St & Gold St,40.70224,-73.982578
419,Carlton Ave & Park Ave,40.695807,-73.973556
420,Clermont Ave & Lafayette Ave,40.687645,-73.969689
421,Clermont Ave & Park Ave,40.695734,-73.971297
422,W 59 St & 10 Ave,40.770513,-73.988038
423,W 54 St & 9 Ave,40.765849,-73.986905
426,West St & Chambers St,40.717548,-74.013221
427,Bus Slip & State St,40.701907,-74.013942
428,E 3 St & 1 Ave,40.724677,-73.987834
430,York St & Jay St,40.701485,-73.986569
432,E 7 St & Avenue A,40.726218,-73.983799
433,E 13 St & Avenue A,40.729554,-73.980572
434,9 Ave & W 18 St,40.743174,-74.003664
435,W 21 St & 6 Ave,40.74174,-73.994156
436,Hancock St & Bedford Ave,40.682166,-73.95399
437,Macon St & Nostrand Ave,40.680983,-73.950048
438,St Marks Pl & 1 Ave,40.727791,-73.985649
439,E 4 St & 2 Ave,40.726281,-73.98978
440,E 45 St & 3 Ave,40.752554,-73.972826
441,E 52 St & 2 Ave,40.756014,-73.967416
442,W 27 St & 7 Ave,40.746647,-73.993915
443,Bedford Ave & S 9 St,40.708531,-73.96409
444,Broadway & W 24 St,40.742354,-73.989151
445,E 10 St & Avenue A,40.727408,-73.98142
446,W 24 St & 7 Ave,40.744876,-73.995299
447,8 Ave & W 52 St,40.763707,-73.985162
448,W 37 St & 10 Ave,40.756604,-73.997901
449,W 52 St & 9 Ave,40.764618,-73.987895
450,W 49 St & 8 Ave,40.762272,-73.987882
453,W 22 St & 8 Ave,40.744751,-73.999154
454,E 51 St & 1 Ave,40.754557,-73.96593
455,1 Ave & E 44 St,40.75002,-73.969053
456,E 53 St & Madison Ave,40.759711,-73.974023
457,Broadway & W 58 St,40.766953,-73.981693
458,11 Ave & W 27 St,40.751396,-74.005226
459,W 20 St & 11 Ave,40.746745,-74.007756
460,S 4 St & Wythe Ave,40.712859,-73.965903
461,E 20 St & 2 Ave,40.735877,-73.98205
462,W 22 St & 10 Ave,40.74692,-74.004519
463,9 Ave & W 16 St,40.742065,-74.004432
465,Broadway & W 41 St,40.755136,-73.98658
466,W 25 St & 6 Ave,40.743954,-73.991449
467,Dean St & 4 Ave,40.683125,-73.978951
468,Broadway & W 55 St,40.765265,-73.981923
469,Broadway & W 53 St,40.763441,-73.982681
470,W 20 St & 8 Ave,40.743453,-74.00004
471,Grand St & Havemeyer St,40.712868,-73.956981
472,E 32 St & Park Ave,40.745712,-73.981948
473,Rivington St & Chrystie St,40.721101,-73.991925
474,5 Ave & E 29 St,40.745168,-73.986831
475,E 16 St & Irving Pl,40.735243,-73.987586
476,E 31 St & 3 Ave,40.743943,-73.979661
477,W 41 St & 8 Ave,40.756405,-73.990026
478,11 Ave & W 41 St,40.760301,-73.998842
479,9 Ave & W 45 St,40.760193,-73.991255
480,W 53 St & 10 Ave,40.766697,-73.990617
481,S 3 St & Bedford Ave,40.712605,-73.962644
482,W 15 St & 7 Ave,40.739355,-73.999318
483,E 12 St & 3 Ave,40.732233,-73.9889
